damaged_part_key,reference_num,product_index,claim_id,manufacturer_name,model_name,model_variant,num_parts_group_cd,txt_parts_group_name,txt_parts_name,cur_garage_estimate,cur_billed_amount,cur_surveyor_approval,num_tax,cur_tax_amount,num_depreciation,cur_depreciation_amount,cur_net_amount,txt_info1,txt_info2,txt_info3,num_part_code,txt_repair_type,dat_insert_date,surveyor_id,garage_id
DPRT-000001,151ccd0e-c832-44d8-a940-12209f9247b8,N003410,CLM-00001,MARUTI,ALTO,K10 VXI,3,Rubber Plastic Parts,Bumper Front Assembly,5766.51,5453.79,5453.79,0.0,0.0,0.0,0.0,5453.79,,,,341,Replace,2025-11-03,SUR-29,GAR-126
DPRT-000002,60d3b6b4-9236-4d91-be0b-11a17683f671,N003410,CLM-00001,MARUTI,ALTO,K10 VXI,3,Rubber Plastic Parts,Radiator Assembly,8137.11,7467.9,7467.9,28.0,2091.01,0.0,0.0,9558.91,Rush job,Surveyor noted minor scratch,,342,Replace,2025-11-03,SUR-29,GAR-126
DPRT-000003,c5405f41-b911-4b44-abc7-095a7532068d,N003410,CLM-00001,MARUTI,ALTO,K10 VXI,3,Rubber Plastic Parts,Head Light Right,18548.56,17592.44,17592.44,28.0,4925.88,25.0,4398.11,18120.21,Rush job,Customer escalated delay,,367,Replace,2025-11-03,SUR-29,GAR-126
DPRT-000004,d15370dc-503c-45c9-9a38-6132e570e141,N003410,CLM-00001,MARUTI,ALTO,K10 VXI,3,Rubber Plastic Parts,Head Light Left,20150.57,18577.49,18577.49,28.0,5201.7,40.0,7431.0,16348.19,,Surveyor noted minor scratch,,328,Replace,2025-11-03,SUR-29,GAR-126
DPRT-000005,35bea4c8-0426-4860-9c5a-2ec133e6194d,N003410,CLM-00001,MARUTI,ALTO,K10 VXI,1,Metalic Parts,Fender Panel Front Right,4347.37,4127.79,4127.79,28.0,1155.78,25.0,1031.95,4251.62,Part ordered late,,,194,Replace,2025-11-03,SUR-29,GAR-126
DPRT-000006,5354a385-fb31-41a3-ab3f-5e1917c944a8,N003410,CLM-00001,MARUTI,ALTO,K10 VXI,3,Rubber Plastic Parts,Grille Radiator Middle,7123.44,6522.78,6522.78,18.0,1174.1,40.0,2609.11,5087.77,Part ordered late,Customer escalated delay,,339,Replace,2025-11-03,SUR-29,GAR-126
DPRT-000007,0eb2b193-f3c7-459e-8cc7-90a17f35eb23,N003410,CLM-00001,MARUTI,ALTO,K10 VXI,1,Metalic Parts,Hinge Bonnet|Hood Right,991.81,933.08,933.08,28.0,261.26,40.0,373.23,821.11,Part ordered late,Surveyor noted minor scratch,,104,Replace,2025-11-03,SUR-29,GAR-126
DPRT-000008,8dc117ab-9f9a-4f9c-a612-25796dd8a022,N003410,CLM-00001,MARUTI,ALTO,K10 VXI,3,Rubber Plastic Parts,Fender Wheel Well Lining|Guard|Cover Left,1333.54,1221.51,1221.51,28.0,342.02,40.0,488.6,1074.93,Part ordered late,Customer escalated delay,,317,Replace,2025-11-03,SUR-29,GAR-126
DPRT-000009,eeb47051-9c31-4f69-9b09-3e81d349fa90,N010976,CLM-00002,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.4 ZX MT 7 STR,3,Rubber Plastic Parts,Grille Radiator Middle,8830.33,8140.32,8140.32,28.0,2279.29,0.0,0.0,10419.61,,Customer escalated delay,,339,Replace,2025-11-03,SUR-13,GAR-132
DPRT-000010,a80fb92f-4d5d-42fd-83de-8137186fb459,N010976,CLM-00002,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.4 ZX MT 7 STR,3,Rubber Plastic Parts,Head Light Left,24925.45,23184.4,23184.4,5.0,1159.22,40.0,9273.76,15069.86,Rush job,Surveyor noted minor scratch,,328,Replace,2025-11-03,SUR-13,GAR-132
DPRT-000011,ba87eabe-c1b7-437c-b133-800aecce2d6f,N010976,CLM-00002,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.4 ZX MT 7 STR,1,Metalic Parts,Carrier Radiator Support Center Member 1,5122.87,4673.39,4673.39,28.0,1308.55,40.0,1869.36,4112.58,Pre-existing damage suspected,Customer escalated delay,,172,Replace,2025-11-03,SUR-13,GAR-132
DPRT-000012,e3d8c790-23e1-4b52-a31b-593abda0bcfc,N010976,CLM-00002,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.4 ZX MT 7 STR,3,Rubber Plastic Parts,Bumper Front Upper,4959.77,4705.23,4705.23,28.0,1317.46,40.0,1882.09,4140.6,Pre-existing damage suspected,Surveyor noted minor scratch,,346,Replace,2025-11-03,SUR-13,GAR-132
DPRT-000013,20d7b979-fc24-4642-b160-2e779d00a18f,N010976,CLM-00002,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.4 ZX MT 7 STR,3,Rubber Plastic Parts,Carrier Bulkhead Radiator Support,16033.56,15237.08,15237.08,28.0,4266.38,0.0,0.0,19503.46,Rush job,,,321,Replace,2025-11-03,SUR-13,GAR-132
DPRT-000014,28a7d592-3032-4e95-970e-f457eaff6528,N010976,CLM-00002,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.4 ZX MT 7 STR,3,Rubber Plastic Parts,Fender Wheel Well Lining|Guard|Cover Right,1627.83,1499.92,1499.92,28.0,419.98,40.0,599.97,1319.93,Part ordered late,Customer escalated delay,,353,Replace,2025-11-03,SUR-13,GAR-132
DPRT-000015,697a9e75-7070-4871-90c5-9a8e371330b0,N010976,CLM-00002,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.4 ZX MT 7 STR,3,Rubber Plastic Parts,Bracket 1,628.79,577.82,577.82,18.0,104.01,40.0,231.13,450.7,Part ordered late,Customer escalated delay,,360,Replace,2025-11-03,SUR-13,GAR-132
DPRT-000016,5774ccc6-839a-4313-9f1c-538b8c40bee7,N010976,CLM-00002,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.4 ZX MT 7 STR,3,Rubber Plastic Parts,Radiator Cooling Fan Assembly,10079.36,9393.25,9393.25,5.0,469.66,40.0,3757.3,6105.61,Part ordered late,,,347,Replace,2025-11-03,SUR-13,GAR-132
