policy_number,transaction_type,policy_status,policy_issuance_type,policy_term_yrs,product_uin,product_name,plan_name,member_id,vehicle_id,policy_type,policy_procurement_area,policy_issue_date,policy_start_date,policy_end_date,policy_expiry_date,policy_cancellation_termination_date,policy_renewal_indicator,previous_policy_number,first_policy_number,joining_date,renewal_date,total_premium_amt,od_premium_amt,tp_premium_amt,premium_loading_indicator,loading_description,total_loading_amount,premium_paid_till_date,sum_insured_amt,insured_declared_value_amt,basic_premium_rate,no_claim_bonus,deductible_compulsory_amt,deductible_voluntary_amt,zero_depreciation_flag,engine_protect_flag,rti_flag,roadside_assist_flag,key_protect_flag,pa_other_driver_flag,pa_paid_driver_flag,pa_passenger_flag,pa_owner_driver_limit_amt,distribution_channel,agent_id,partner_id,underwriting_approval_id,payment_frequency,covered_vehicle_usage,insurer_proposer_id,proposer_id,proposer_risk_commencement_date,proposer_risk_end_date,proposer_mobile_no
POL-0010000,NB,In Force (IF),Underwritten (U),1,UIN-906,Motor Insurance,Third-Party,MEM-12780,VEH-12432,Third-Party Only,Metro,2025-09-12,2025-09-12,2026-09-12,2026-09-14,,Y,,POL-0010000,2025-09-12,2026-09-12,5203.38,0.0,5203.38,N,,0.0,5203.38,773148.55,773148.55,0.0302730789893059,0,0,0,0,0,0,0,1,1,0,0,1500000,Agent,AG-1130,PT-1661,UW-1341,Annually,Private,IP-85276,MEM-12780,2025-09-12,2026-09-12,98659320701
POL-0010001,NB,In Force (IF),Underwritten (U),1,UIN-625,Motor Insurance,Third-Party,MEM-10592,VEH-14168,Third-Party Only,Metro,2025-06-24,2025-06-24,2026-06-24,2026-06-26,,Y,,POL-0010001,2025-06-24,2026-06-24,7486.89,0.0,7486.89,X,,0.0,7486.89,459610.59,459610.59,0.0281861571198197,0,0,0,0,0,0,0,0,1,0,0,1500000,Agent,AG-1399,PT-1468,UW-1157,Annually,Private,IP-98729,MEM-10592,2025-06-24,2026-06-24,99810436965
POL-0010002,PR,In Force (IF),Underwritten (U),1,UIN-548,Motor Insurance,Comprehensive,MEM-12093,VEH-10638,Comprehensive,Urban,2024-12-12,2024-12-12,2025-12-12,2025-12-14,,Y,POL-5459247,POL-2208184,2024-12-12,2025-12-12,6548.94,4849.23,1699.71,X,,0.0,6548.94,407441.4,407441.4,0.0238032986090311,50,500,1000,1,0,0,1,1,0,0,1,1500000,Broker,AG-1317,PT-1937,UW-1651,Annually,Private,IP-37112,MEM-12093,2024-12-12,2025-12-12,99582029775
POL-0010003,NB,In Force (IF),Underwritten (U),1,UIN-188,Motor Insurance,Comprehensive,MEM-10377,VEH-11818,Comprehensive,Metro,2025-03-31,2025-03-31,2026-03-31,2026-04-01,,Y,,POL-0010003,2025-03-31,2026-03-31,14159.96,11673.91,1724.55,Y,Young driver surcharge,761.5,14159.96,310797.54,310797.54,0.0375611505684063,0,0,2000,0,1,1,0,0,0,0,1,1500000,Direct Online,AG-1430,PT-1497,UW-1791,Annually,Private,IP-18331,MEM-10377,2025-03-31,2026-03-31,97750497318
POL-0010004,PR,In Force (IF),Underwritten (U),1,UIN-148,Motor Insurance,Third-Party,MEM-11743,VEH-11842,Third-Party Only,Urban,2025-02-05,2025-02-05,2026-02-05,2026-02-06,,Y,POL-5385333,POL-7800319,2025-02-05,2026-02-05,4217.14,0.0,4217.14,N,,0.0,4217.14,291863.47,291863.47,0.0283999230277339,25,0,0,0,0,0,0,0,0,1,0,1500000,Agent,AG-1269,PT-1453,UW-1967,Annually,Private,IP-73807,MEM-11743,2025-02-05,2026-02-05,99479076705
POL-0010005,PR,In Force (IF),Standard (S),1,UIN-999,Motor Insurance,Third-Party,MEM-12521,VEH-13857,Third-Party Only,Urban,2025-07-14,2025-07-14,2026-07-14,2026-07-16,,Y,POL-7722869,POL-9455072,2025-07-14,2026-07-14,2951.21,0.0,2951.21,X,,0.0,2951.21,1400803.55,1400803.55,0.0309881055681541,25,700,0,0,0,0,0,0,1,0,1,1500000,Bancassurance,AG-1300,PT-1698,UW-1425,Annually,Private,IP-88932,MEM-12521,2025-07-14,2026-07-14,98734305443
POL-0010006,PR,Terminated (TM),Standard (S),1,UIN-370,Motor Insurance,Comprehensive,MEM-10289,VEH-11357,Comprehensive,Urban,2024-07-17,2024-07-17,2025-07-17,2025-07-17,2025-07-17,X,POL-4030230,POL-1593043,2024-07-17,,28017.75,21747.63,6270.12,X,,0.0,28017.75,594310.21,594310.21,0.0365930631145337,0,500,1000,1,0,1,1,0,1,1,0,1500000,Broker,AG-1881,PT-1684,UW-1510,Annually,Private,IP-28310,MEM-10289,2024-07-17,2025-07-17,99635952491
POL-0010007,PR,In Force (IF),Underwritten (U),1,UIN-492,Motor Insurance,Standalone OD,MEM-12829,VEH-11066,Stand-alone OD,Urban,2025-02-01,2025-02-01,2026-02-01,2026-02-05,,Y,POL-6189061,POL-1303870,2025-02-01,2026-02-01,29506.48,29506.48,0.0,N,,0.0,29506.48,1160331.43,1160331.43,0.0391220896333319,35,500,1000,0,0,0,0,1,0,0,0,1500000,Direct Online,AG-1717,PT-1307,UW-1768,Annually,Private,IP-72665,MEM-12829,2025-02-01,2026-02-01,99335526014
POL-0010008,NB,In Force (IF),Standard (S),1,UIN-775,Motor Insurance,Standalone OD,MEM-11521,VEH-12446,Stand-alone OD,Metro,2024-11-12,2024-11-12,2025-11-12,2025-11-19,,Y,,POL-0010008,2024-11-12,2025-11-12,12509.78,12509.78,0.0,N,,0.0,12509.78,320517.7,320517.7,0.0390299192136321,0,0,1500,0,0,0,1,0,1,0,1,1500000,Agent,AG-1999,PT-1545,UW-1308,Annually,Private,IP-36358,MEM-11521,2024-11-12,2025-11-12,97437127693
POL-0010009,PR,Expired (XP),Standard (S),1,UIN-949,Motor Insurance,Standalone OD,MEM-12659,VEH-11255,Stand-alone OD,Urban,2024-07-01,2024-07-01,2025-07-01,2025-07-05,,N,POL-7509399,POL-9160003,2024-07-01,,5334.77,5334.77,0.0,N,,0.0,5334.77,347349.87,347349.87,0.0153584948327109,0,500,1000,0,0,0,1,0,1,0,1,1500000,Bancassurance,AG-1230,PT-1143,UW-1179,Annually,Private,IP-49951,MEM-12659,2024-07-01,2025-07-01,98333260376
