vehicle_id,vin_code,registration_id,vehicle_make,vehicle_model,vehicle_variant,vehicle_valuation,vehicle_age,vehicle_mfg_year,vehicle_reg_date,rto_details,vehicle_body_type,vehicle_engine_fuel_type,vehicle_engine_capacity,safety_flag_driver_airbag,safety_flag_passenger_airbag,safety_flag_side_airbag,safety_flag_abs,security_features_flag,kilometers_driven,usage_type,prev_damage_desc,modification_desc,vehicle_transfer_date
VEH-10000,IDI18R55Z908087899,GJ78B7826,MARUTI,ALTO,K10 VXI,346637.18,9,2016,2016-11-04,Ta-COI,Hatchback,Petrol,998,0,1,0,1,0,35043,Private,,Body kit,
VEH-10001,JSK09D50W022018626,DL72D2033,MARUTI,DZIRE,VXI,619024.75,5,2020,2020-09-22,Ka-BAN,Sedan,Petrol,1197,1,1,0,1,0,111218,Private,Minor scratches,Body kit,2021-11-09
VEH-10002,AGR07H49I187809503,DL35B5999,MARUTI,VITARA BREZZA,VDI,486455.79,15,2010,2010-03-06,Ka-MYS,SUV,Diesel,1248,0,1,0,1,1,90532,Private,Minor scratches,Alloy wheels,2012-07-13
VEH-10003,VTR47Y96L880578885,UP60B5517,MARUTI,WAGON R,1.0 LXI CNG,333672.35,13,2012,2012-01-08,Ka-BAN,Hatchback,CNG,998,0,1,1,0,0,89064,Private,Minor scratches,Alloy wheels,
VEH-10004,VQU62U08Z238318181,RJ12B2576,MARUTI,DZIRE,VXI,619024.75,5,2020,2020-05-09,Ka-BAN,Sedan,Petrol,1197,0,1,1,1,0,18207,Private,Minor scratches,Body kit,
VEH-10005,JHP61L18V455942847,MH40D5472,MARUTI,WAGON R,1.0 VXI,359242.16,10,2015,2015-03-08,We-KOL,Hatchback,Petrol,998,1,0,0,0,0,9037,Private,,Alloy wheels,2017-09-13
VEH-10006,SPB30O36O030020336,MH04A2031,MARUTI,WAGON R,1.0 VXI,488703.75,4,2021,2021-01-17,Ka-BAN,Hatchback,Petrol,998,1,0,1,1,0,138715,Private,,,
VEH-10007,SZW24D94G382532067,TN74B2015,MARUTI,SWIFT,VDI (DIESEL),390139.98,14,2011,2011-01-25,Ta-COI,Hatchback,Diesel,1248,1,0,0,1,1,67598,Private,Dent on door,,2012-11-29
VEH-10008,VZB52S96K527101382,GJ03B8342,HONDA,AMAZE,1.2 SMT i-VTEC,600162.5,3,2022,2022-03-10,Ma-MUM,Sedan,Petrol,1199,1,0,0,0,0,123271,Commercial,Dent on door,,2023-04-08
VEH-10009,TIC87L06F437157117,TN28C6609,MARUTI,SWIFT,VXI,665000.0,1,2024,2024-05-14,Ka-BAN,Hatchback,Petrol,1197,0,1,1,1,1,126144,Private,,,
VEH-10010,MAO43I36Y305179872,KA13D8213,MARUTI,ALTO 800,LXI,227520.04,11,2014,2014-09-23,Ma-PUN,Hatchback,Petrol,796,0,0,0,1,0,48581,Private,,,
VEH-10011,UCV37Y34L595291346,MH73C2311,MARUTI,BALENO HATCHBACK,Zeta 1.2,511920.08,11,2014,2014-05-03,We-HOW,Hatchback,Petrol,1197,1,0,0,1,0,117434,Private,Dent on door,,
VEH-10012,JBU55Z43G828274237,UP87A6378,MARUTI,BALENO HATCHBACK,Zeta 1.2,416962.11,15,2010,2010-09-12,Ta-CHE,Hatchback,Petrol,1197,0,1,1,1,1,1291,Private,Minor scratches,,2012-08-22
VEH-10013,XRT52M23B541813820,KA46B3336,MARUTI,BALENO HATCHBACK,Zeta 1.2,567224.47,9,2016,2016-07-10,Ta-CHE,Hatchback,Petrol,1197,1,0,0,0,0,108306,Private,Dent on door,Body kit,
VEH-10014,KPD94T42Q625309380,GJ88A3036,MAHINDRA,SCORPIO,S5 2WD 7STR,694936.85,15,2010,2010-04-27,We-KOL,SUV,Diesel,2184,1,1,0,1,1,107036,Private,Minor scratches,Body kit,
VEH-10015,TJZ01T15Q397393231,MH27C2461,MARUTI,VITARA BREZZA,VXI,630249.41,9,2016,2016-04-19,De-NOI,SUV,Petrol,1462,0,0,0,1,1,66180,Private,,Body kit,
VEH-10016,LRW38O26M904647686,DL85D6827,MARUTI,WAGON R,1.0 VXI,488703.75,4,2021,2021-12-24,We-HOW,Hatchback,Petrol,998,1,1,0,1,0,51757,Private,Minor scratches,,2023-09-08
