vehicle_id,vin_code,registration_id,vehicle_make,vehicle_model,vehicle_variant,vehicle_valuation,vehicle_age,vehicle_mfg_year,vehicle_reg_date,rto_details,vehicle_body_type,vehicle_engine_fuel_type,vehicle_engine_capacity,safety_flag_driver_airbag,safety_flag_passenger_airbag,safety_flag_side_airbag,safety_flag_abs,security_features_flag,kilometers_driven,usage_type,prev_damage_desc,modification_desc,vehicle_transfer_date
VEH-10000,JGY86J27P056481615,KA68B3585,HYUNDAI,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,378252.06,12,2013,2013-12-15,Ma-MUM,Hatchback,Petrol,1197,0,0,0,1,1,105323,Private,Dent on door,Alloy wheels,2016-04-26
VEH-10001,DHW05F97H232309874,GJ22C3801,MARUTI,ALTO 800,LXI,361000.0,2,2023,2023-10-07,Ma-MUM,Hatchback,Petrol,796,0,0,0,1,0,100331,Private,None,None,
VEH-10002,VQF82M66E910964145,UP53C2607,MARUTI,SWIFT,VXI,324303.86,15,2010,2010-02-24,Ta-CHE,Hatchback,Petrol,1197,0,0,0,1,0,31997,Private,,,
VEH-10003,FXD77Y61S556664584,TN44C8967,MARUTI,BALENO HATCHBACK,Delta 1.2,760000.0,1,2024,2024-06-26,Ta-COI,Hatchback,Petrol,1197,1,0,0,1,0,130793,Private,,,
VEH-10004,FMN16H98G093920711,RJ23D9878,HONDA,AMAZE,1.2 VXMT i-VTEC,684370.55,7,2018,2018-01-03,Ka-MYS,Sedan,Petrol,1199,1,0,0,1,0,58601,Private,,None,
VEH-10005,TMZ24L28C325938743,WB82D9106,HYUNDAI,CRETA,1.4 E Plus,1235000.0,1,2024,2024-05-21,Ma-PUN,SUV,Diesel,1582,0,1,0,0,0,42450,Private,Minor scratches,None,
VEH-10006,WMQ03U44X178446766,MH55C5578,MARUTI,WAGON R,1.0 VXI,398052.26,8,2017,2017-09-23,Ma-MUM,Hatchback,Petrol,998,0,0,0,0,0,67893,Commercial,Minor scratches,None,
VEH-10007,ZOF96W33I739533753,MH41C8773,MARUTI,ERTIGA,1.5 VXI CNG,943112.5,3,2022,2022-10-23,Ta-MAD,MUV,CNG,1462,0,1,0,0,1,84945,Private,Dent on door,,
VEH-10008,MDN61Z22F957493820,MH85B6142,MARUTI,ALTO,K10 VXI,496375.0,2,2023,2023-11-28,We-KOL,Hatchback,Petrol,998,0,1,0,1,0,145162,Private,None,,
VEH-10009,JIH85N94X932829755,WB31A8686,MARUTI,SWIFT,1.2 VXi BS IV,351234.06,12,2013,2013-01-24,We-HOW,Hatchback,Petrol,1197,0,0,0,1,0,82042,Private,None,None,
VEH-10010,OIQ23V86K069301867,KA50C8592,MARUTI,VITARA BREZZA,VDI,597240.1,11,2014,2014-09-12,Ma-NAG,SUV,Diesel,1248,1,0,0,1,1,40711,Private,Minor scratches,Alloy wheels,
VEH-10011,SRR54L08I271458122,MH70C3494,MARUTI,ERTIGA,1.5 VXI CNG,1100000.0,0,2025,2025-11-05,Ta-MAD,MUV,CNG,1462,1,0,0,1,0,14038,Private,Dent on door,Body kit,
VEH-10012,XZU60K13U778978287,KA26A7538,MARUTI,BALENO HATCHBACK,Delta 1.2,588073.51,6,2019,2019-08-10,Ta-CHE,Hatchback,Petrol,1197,0,0,0,1,0,33430,Private,Dent on door,Alloy wheels,
VEH-10013,QWR73A68M314339540,GJ69A9792,MARUTI,ERTIGA,1.5 VXI CNG,895956.87,4,2021,2021-04-23,Ma-NAG,MUV,CNG,1462,1,1,1,1,0,26462,Private,,Alloy wheels,
VEH-10014,QJD67Q65C321070071,WB52B9345,HONDA,AMAZE,1.2 SMT i-VTEC,398160.06,11,2014,2014-03-13,De-GUR,Sedan,Petrol,1199,1,1,0,0,0,16941,Private,None,,
VEH-10015,GMP59Y72I643567445,DL95A6150,HONDA,AMAZE,1.2 SMT i-VTEC,488836.11,7,2018,2018-09-22,We-HOW,Sedan,Petrol,1199,0,0,0,1,1,40039,Private,None,,
VEH-10016,CZT79X34D790779031,GJ45C8259,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,345830.46,12,2013,2013-10-19,Ka-MYS,Hatchback,Petrol,1197,1,0,0,0,1,88528,Private,,Alloy wheels,
VEH-10017,UMC58A78N603953262,DL32C1025,MARUTI,BALENO HATCHBACK,Delta 1.2,619024.75,5,2020,2020-12-22,Ma-MUM,Hatchback,Petrol,1197,0,1,1,0,0,6735,Private,None,,
VEH-10018,MCY62K86C049630498,RJ42C2063,MARUTI,ALTO,K10 VXI,471556.25,3,2022,2022-09-06,De-NEW,Hatchback,Petrol,998,0,1,1,1,1,13936,Private,Minor scratches,Alloy wheels,
VEH-10019,QCY43I29N430754099,RJ57B1719,MARUTI,VITARA BREZZA,VXI,513342.08,13,2012,2012-04-09,Ma-MUM,SUV,Petrol,1462,0,0,0,0,0,55420,Private,Minor scratches,Alloy wheels,
VEH-10020,TTU27W62O235023260,KA41B2641,MARUTI,DZIRE,VXI,504199.53,9,2016,2016-10-27,Ta-MAD,Sedan,Petrol,1197,1,1,0,1,1,59953,Private,None,Body kit,
VEH-10021,TJS38C48V455266970,MH48B3640,MARUTI,SWIFT,VDI (DIESEL),455040.07,11,2014,2014-02-21,Ta-MAD,Hatchback,Diesel,1248,0,1,0,1,0,101785,Private,,,
